date,spy_close,spy_open,spy_high,spy_low,spy_volume,spy_sma20,spy_sma50,spy_sma200,spy_above_sma20,spy_above_sma50,spy_above_sma200,spy_sma20_slope_up,spy_return_1d,spy_return_5d,spy_return_20d,spy_return_60d,spy_gap_pct,spy_range_pct,spy_range_pct_sma10,spy_range_expansion,spy_realized_vol_20d,qqq_close,qqq_above_sma20,qqq_above_sma50,qqq_return_1d,qqq_return_5d,qqq_realized_vol_20d,spy_qqq_divergence_1d,market_regime_label
2025-08-06,632.78,629.05,633.44,628.13,64357525,629.5985,614.2242,589.1824,1,1,1,1,0.00766,-0.002648,0.013973,0.121274,0.00172,0.008392,0.008003,1.0486,0.101863,567.32,1,1,0.012583,-0.001232,0.122334,-0.004923,bullish
2025-08-07,632.25,636.24,636.98,629.11,74205791,629.92,615.0462,589.4318,1,1,1,1,-0.000838,0.000269,0.010275,0.084495,0.005468,0.012448,0.008907,1.3976,0.101679,569.24,1,1,0.003384,0.007487,0.122263,-0.004222,bullish
2025-08-08,637.18,634.06,637.645,633.74,64051626,630.598,616.0352,589.6948,1,1,1,1,0.007798,0.024866,0.021744,0.085781,0.002863,0.006129,0.00909,0.6743,0.103618,574.55,1,1,0.009328,0.037319,0.124742,-0.00153,bullish
2025-08-11,635.92,637.46,638.95,634.66,58742300,631.1535,616.9526,589.9562,1,1,1,1,-0.001977,0.007526,0.017781,0.082251,0.000439,0.006746,0.009372,0.7198,0.104122,572.85,1,1,-0.002959,0.015511,0.125656,0.000982,bullish
2025-08-12,642.69,638.29,642.85,636.79,64821798,632.181,618.0186,590.2531,1,1,1,1,0.010646,0.023441,0.033031,0.088456,0.003727,0.009429,0.009632,0.9789,0.107662,580.05,1,1,0.012569,0.035304,0.131553,-0.001923,bullish
2025-08-13,644.89,644.91,646.19,642.68,60092790,633.2145,619.0622,590.5876,1,1,1,1,0.003423,0.019138,0.033113,0.085308,0.003454,0.005443,0.009209,0.5911,0.107679,580.34,1,1,0.0005,0.02295,0.13162,0.002923,bullish
2025-08-14,644.95,642.79,645.62,642.34,59327466,634.06,620.0394,590.9162,1,1,1,1,9.3e-05,0.020087,0.026925,0.084223,-0.003256,0.005086,0.00828,0.6143,0.106475,579.89,1,1,-0.000775,0.018709,0.129975,0.000868,bullish
2025-08-15,643.44,645.99,646.09,642.5153,68592507,634.853,620.9896,591.2382,1,1,1,1,-0.002341,0.009825,0.025272,0.085334,0.001613,0.005556,0.007702,0.7214,0.107041,577.34,1,1,-0.004397,0.004856,0.131437,0.002056,bullish
2025-08-18,643.3,642.86,644.0,642.18,43804914,635.5795,621.9946,591.5505,1,1,1,1,-0.000218,0.011605,0.023109,0.103696,-0.000901,0.002829,0.007092,0.3989,0.107134,577.11,1,1,-0.000398,0.007437,0.13081,0.00018,bullish
2025-08-19,639.81,643.12,644.105,638.48,69750731,636.127,622.808,591.8407,1,1,1,1,-0.005425,-0.004481,0.017412,0.097275,-0.00028,0.008792,0.007085,1.2409,0.109629,569.28,0,1,-0.013568,-0.018567,0.139414,0.008143,bullish
2025-08-20,638.11,639.4,639.66,632.95,88890298,636.322,623.5766,592.1312,1,1,1,1,-0.002657,-0.010513,0.006149,0.10188,-0.000641,0.010515,0.007297,1.441,0.106457,565.9,0,1,-0.005937,-0.024882,0.140558,0.00328,bullish
